"country","subject","resp","cat","condition","site"
"China",2201,1,0.5,"mind",3
"China",2204,0,-0.5,"body",3
"China",2204,0,0.5,"mind",3
"China",2211,1,-0.5,"body",3
"China",2211,3,0.5,"mind",3
"China",2223,0,-0.5,"body",3
"China",2223,0,0.5,"mind",3
"China",2229,1,-0.5,"body",3
"China",2229,1,0.5,"mind",3
"Germany",3382,1,-0.5,"body",4
"Germany",3382,2,0.5,"mind",4
"Germany",3468,1,-0.5,"body",4
"Germany",3468,3,0.5,"mind",4
"Germany",3469,0,-0.5,"body",4
"Germany",3469,0,0.5,"mind",4
"Germany",3471,2,-0.5,"body",4
"Germany",3471,3,0.5,"mind",4
"Germany",3481,0,-0.5,"body",4
"Germany",3481,2,0.5,"mind",4
"Germany",3502,1,-0.5,"body",4
"Germany",3502,2,0.5,"mind",4
"Germany",3503,0,-0.5,"body",4
"Germany",3503,0,0.5,"mind",4
"Germany",3518,0,-0.5,"body",4
"Germany",3518,0,0.5,"mind",4
"Germany",3528,1,-0.5,"body",4
"Germany",3528,3,0.5,"mind",4
"Germany",3538,0,-0.5,"body",4
"Germany",3538,1,0.5,"mind",4
"Germany",3566,0,-0.5,"body",4
"Germany",3566,3,0.5,"mind",4
"Germany",3593,0,-0.5,"body",4
"Germany",3593,0,0.5,"mind",4
"Germany",3609,2,-0.5,"body",4
"Germany",3609,1,0.5,"mind",4
"Germany",3618,1,-0.5,"body",4
"Germany",3618,2,0.5,"mind",4
"Germany",3631,0,-0.5,"body",4
"Germany",3631,0,0.5,"mind",4
"Germany",3664,0,-0.5,"body",4
"Germany",3664,3,0.5,"mind",4
"Germany",3671,0,-0.5,"body",4
"Germany",3671,2,0.5,"mind",4
"Germany",3705,0,-0.5,"body",4
"Germany",3705,0,0.5,"mind",4
"Germany",3720,0,-0.5,"body",4
"Germany",3720,1,0.5,"mind",4
"Germany",3739,2,-0.5,"body",4
"Germany",3739,3,0.5,"mind",4
"Germany",3776,0,-0.5,"body",4
"Germany",3776,0,0.5,"mind",4
"Germany",3812,1,-0.5,"body",4
"Germany",3812,3,0.5,"mind",4
"Germany",3814,0,-0.5,"body",4
"Germany",3814,0,0.5,"mind",4
"Germany",3841,1,-0.5,"body",4
"Germany",3841,3,0.5,"mind",4
"Germany",3871,0,-0.5,"body",4
"Germany",3871,1,0.5,"mind",4
"Germany",3883,0,-0.5,"body",4
"Germany",3883,0,0.5,"mind",4
"Germany",3897,0,-0.5,"body",4
"Germany",3897,0,0.5,"mind",4
"Germany",3898,0,-0.5,"body",4
"Germany",3898,0,0.5,"mind",4
"Germany",3910,1,-0.5,"body",4
"Germany",3910,3,0.5,"mind",4
"Germany",3911,0,-0.5,"body",4
"Germany",3911,0,0.5,"mind",4
"Germany",3919,0,-0.5,"body",4
"Germany",3919,3,0.5,"mind",4
"Germany",3930,0,-0.5,"body",4
"Germany",3930,1,0.5,"mind",4
"Germany",3964,0,-0.5,"body",4
"Germany",3964,0,0.5,"mind",4
"Germany",3986,0,-0.5,"body",4
"Germany",3986,0,0.5,"mind",4
"Germany",4001,0,-0.5,"body",4
"Germany",4001,0,0.5,"mind",4
"Germany",4007,0,-0.5,"body",4
"Germany",4007,3,0.5,"mind",4
"Germany",4036,0,-0.5,"body",4
"Germany",4036,0,0.5,"mind",4
"Germany",4066,0,-0.5,"body",4
"Germany",4066,0,0.5,"mind",4
"Germany",4073,1,-0.5,"body",4
"Germany",4073,3,0.5,"mind",4
"Germany",4079,0,-0.5,"body",4
"Germany",4079,2,0.5,"mind",4
"Germany",4123,0,-0.5,"body",4
"Germany",4123,0,0.5,"mind",4
"Germany",4141,0,-0.5,"body",4
"Germany",4141,1,0.5,"mind",4
"Germany",4204,0,-0.5,"body",4
"Germany",4204,0,0.5,"mind",4
"Germany",4229,0,-0.5,"body",4
"Germany",4229,3,0.5,"mind",4
"Germany",4243,1,-0.5,"body",4
"Germany",4243,2,0.5,"mind",4
"Germany",4276,2,-0.5,"body",4
"Germany",4276,3,0.5,"mind",4
"Germany",4308,0,-0.5,"body",4
"Germany",4308,3,0.5,"mind",4
"Germany",4318,1,-0.5,"body",4
"Germany",4318,3,0.5,"mind",4
"Germany",4359,1,-0.5,"body",4
"Germany",4359,2,0.5,"mind",4
"Germany",4377,1,-0.5,"body",4
"Germany",4377,3,0.5,"mind",4
"Germany",4460,0,-0.5,"body",4
"Germany",4460,0,0.5,"mind",4
"Germany",4465,3,-0.5,"body",4
"Germany",4465,3,0.5,"mind",4
"Germany",4474,0,-0.5,"body",4
"Germany",4474,3,0.5,"mind",4
"Germany",4475,0,-0.5,"body",4
"Germany",4475,2,0.5,"mind",4
"Germany",4506,0,-0.5,"body",4
"Germany",4506,1,0.5,"mind",4
"Germany",4562,0,-0.5,"body",4
"Germany",4562,0,0.5,"mind",4
"Germany",4567,0,-0.5,"body",4
